Symbol,Conclusion,Price,Market Cap (Cr),Score (%),market_cap,stock_price,eps,eps_growth_5y,roe,roce,operating_margin,net_margin,gross_margin,de_ratio,interest_coverage,current_ratio,quick_ratio,free_cash_flow,cash_conversion_ratio,revenue,revenue_growth_5y,profit,profit_growth_5y,operating_leverage,pe_ratio,peg_ratio,pb_ratio,ev_ebitda,beta,dividend_yield,liquidity,promoter_holding,promoter_holding_growth,quarterly_revenue,quarterly_profit,quarterly_eps,quarterly_revenue_growth,quarterly_profit_growth,quarterly_eps_growth,quarterly_de_ratio,quarterly_current_ratio,quarterly_interest_coverage,market_cap (s),stock_price (s),eps_growth_5y (s),roe (s),roce (s),operating_margin (s),net_margin (s),de_ratio (s),interest_coverage (s),current_ratio (s),free_cash_flow (s),revenue_growth_5y (s),profit_growth_5y (s),cash_flow_growth (s),pe_ratio (s),peg_ratio (s),pb_ratio (s),ev_ebitda (s),liquidity (s),promoter_holding (s),promoter_holding_growth (s)
BLUECOAST.NS,,47.75,85.55872,42.85714286,855587200,47.75,59.29,,,,-8.050819,6720.7563,0,,41.78716318,,,,,0,,799960000,,,0.8053635,,-3.5433364,-34.991,0.377,,23002,71.38,5,"[1345000.0, 0.0, 0.0, 0.0, 0.0]","[-13088000.0, -31675000.0, -3194000.0, 847727000.0, -12898000.0]","[-0.88, -0.22, 66.41, -0.78]",[-1.0],"[1.42015586797066, -0.8991633780584056, -266.41233562930495, -1.015214803822457]","[-0.75, -302.8636363636364, -1.0117452190935101]","[-0.3220907655267041, -0.9898281980775107, -0.03288170509468347]",[],"[-2.1043643263757117, -0.47292943331859244, -289.3636363636364, -0.24318072289156625]",5,5,0,0,0,0,5,0,5,0,0,0,0,0,5,0,5,5,0,5,5
CORALFINAC.NS,,42.65,171.8889856,42.85714286,1718889856,42.65,3.76,0.002314823,,,0.87984,0.6682,0.98915,,211864,,,,,151737000,-0.031679136,174901000,0.002280215,-0.071978444,11.343085,49.00195235,0.7814075,2.837,0.191,0.91,42141,74.96,-0.04,"[45809000.0, -29366000.0, 36835000.0, 65196000.0, 79072000.0]","[48120000.0, 23464000.0, 23341000.0, 56610000.0, 71483000.0]","[1.19, 0.58, 1.4, 1.77]","[-1.6410530681743762, -2.254341755771981, 0.7699470612189494, 0.21283514326032282]","[-0.5123857024106401, -0.005242072962836741, 1.4253459577567371, 0.2627274333156686]","[-0.5126050420168067, 1.4137931034482758, 0.26428571428571446]","[0.0, 0.0, 0.0]",[],[],5,5,0,0,0,5,5,0,5,0,0,0,0,0,5,0,5,5,0,5,0
GOYALALUM.NS,,7.04,100.6262016,42.85714286,1006262016,7.04,0.16,1.714417617,,,0.01145,0.02885,0.04279,0.411,10.68430052,,,,,765130750,-0.024508055,22864170,0.306542867,-12.50784143,44,0.256646919,4.9682426,49.284,-0.06,,103990,69.94,-0.03,"[178671000.0, 157618750.0, 198554000.0, 216750000.0, 192208000.0]","[5026000.0, 1572170.0, 9023000.0, 6066000.0, 6204000.0]","[0.04, 0.06, 0.04, 0.04]","[-0.1178268997207157, 0.2597105357072049, 0.09164257582320179, -0.11322722029988463]","[-0.6871925984878631, 4.739201231418994, -0.32771805386235175, 0.022749752720079064]","[0.5, -0.33333333333333326, 0.0]","[0.004106152596006005, 0.07591721720117992, 0.08356661418847773]",[],"[10.440613026819923, 2.0400863620007197, 58.594339622641506, 16.24025974025974, 19.54901960784314]",5,5,5,0,0,0,0,5,5,0,0,0,5,0,0,5,0,0,5,5,0
NILAINFRA.NS,,10.13,411.4061824,42.85714286,4114061824,10.13,0.56,,,,0.09084,0.07453,0.13393,15.901,10.96099984,,,,,2455612000,0.442878167,204985000,,,18.089285,,2.4298391,14.955,0.636,,808879,61.9,0,"[925967000.0, 1120992000.0, 523409000.0, 398082000.0, 413129000.0]","[67137000.0, 53605000.0, 49109000.0, 52362000.0, 49909000.0]","[0.17, 0.13, 0.13, 0.13]","[0.21061765700073543, -0.5330840898061717, -0.23944372374185385, 0.03779874498218949]","[-0.20155800825178372, -0.0838727730622143, 0.066240403999267, -0.046846950078301086]","[-0.23529411764705888, 0.0, 0.0]","[0.15901088689395296, 0.19260733239987635, 0.24060067212837638]",[],"[12.831413169855194, 54.20337139749864, 8.61439842209073, 9.388258980608244, 7.171378255630735]",5,5,0,0,0,0,3,0,5,0,0,5,0,0,3,0,3,3,5,5,3
ALMONDZ.NS,,17.3,300.4088576,41.9047619,3004088576,17.3,1.06,-0.04480825,,,0.12258001,0.12254,0.50719,22,10.05929401,,,,,1479611000,0.314368217,173247000,-0.022380816,-0.071192997,16.320755,,1.1911318,,0.233,,207489,51.01,-0.28,"[295300000.0, 506511000.0, 340100000.0, 317300000.0, 315700000.0]","[69000000.0, 61547000.0, 24300000.0, 26500000.0, 60900000.0]","[0.41, 0.15, 0.16, 0.37]","[0.7152421266508635, -0.32854370388797083, -0.06703910614525144, -0.005042546485975463]","[-0.10801449275362318, -0.6051797813053439, 0.09053497942386834, 1.29811320754717]","[-0.6341463414634146, 0.06666666666666665, 1.3125]","[0.22000725771173296, 0.1347722857759551, 0.10648814689512615]",[],"[7.725, 341.48636363636365, 4.986486486486487, 4.7317073170731705, 10.614285714285714]",5,5,0,0,0,3,3,0,5,0,0,5,0,0,3,0,5,0,5,5,0
BEARDSELL.NS,,32.19,126.9476992,41.9047619,1269476992,32.19,2.49,,,,0.06397,0.03809,0.31625998,35.432,4.493112948,,,,,2683500000,0.12969639,98300000,0.518037148,3.994229522,12.927711,,1.5741601,6.075,-0.331,0.3,66559,53.89,-0.65,"[754200000.0, 647900000.0, 684900000.0, 596500000.0, 668072000.0]","[18700000.0, 25200000.0, 31600000.0, 22800000.0, 9469000.0]","[0.64, 0.8, 0.58]","[-0.14094404667197025, 0.05710757832998925, -0.12906993721711202, 0.11998658843252308]","[0.3475935828877006, 0.25396825396825395, -0.2784810126582279, -0.5846929824561404]","[0.25, -0.27500000000000013]","[0.3543180978193914, 0.42718379213703866, 0.46589948253120034]",[],"[4.197368421052632, 4.542553191489362, 5.2105263157894735, 4.010309278350515, 3.528720123361604]",5,5,0,0,0,0,0,0,5,0,0,3,5,0,5,0,3,5,3,5,0
CENTEXT.NS,,30.93,264.7631616,41.9047619,2647631616,30.93,1.24,0.172133252,,,0.055209998,0.022739999,0.22015,62.577,2.415469613,,,,,4312500000,0.101753451,99400000,0.172286436,1.693175365,24.943548,1.449083641,2.9823546,11.306,0.063,,1556969,52.04,0,"[1041500000.0, 1197900000.0, 1035400000.0, 1065000000.0, 1014200000.0]","[23600000.0, 26700000.0, 24500000.0, 23800000.0, 24300000.0]","[0.3, 0.31, 0.3, 0.3]","[0.15016802688430153, -0.135654061273896, 0.028587985319683318, -0.04769953051643194]","[0.13135593220338992, -0.08239700374531833, -0.02857142857142858, 0.021008403361344463]","[0.03333333333333344, -0.032258064516129115, 0.0]","[0.6257683500060263, 0.5845602355652285, 0.6633812457221081]",[],"[2.1760299625468167, 3.0628930817610063, 2.1945525291828796, 2.2083333333333335, 2.453333333333333]",5,5,3,0,0,0,0,0,3,0,0,3,3,0,3,3,0,3,5,5,3
MANUGRAPH.NS,,21.9,67.7686912,41.9047619,677686912,21.9,-5.62,0.241349128,,,0.17756,-0.21804,0.34564,13.139,-10.95974481,,,,,593482000,0.102434789,-266931000,0.241553595,2.358120701,,,1.2464428,-16.969,-0.411,,15089,57.67,0,"[316645000.0, 254228000.0, 64052000.0, 124085000.0, 126081000.0]","[68289000.0, -11522000.0, -45535000.0, -182188000.0, -27686000.0]","[2.25, -1.5, -5.99, -0.91]","[-0.19711980293388498, -0.7480529288670013, 0.9372541060388435, 0.01608574767296611]","[-1.1687240990496273, 2.952004860267315, 3.001054134182497, -0.848036094583617]","[-1.6666666666666665, 2.9933333333333336, -0.8480801335559265]","[0.13139395850578792, 0.3513624717125811, 0.22134167683886855]",[],"[42.0885445489762, -1.8624052004333695, -6.0784821700701, -27.0263856362217, -4.299874977674585]",5,5,5,0,0,3,0,0,0,0,0,3,5,0,0,0,5,5,0,5,3
MOTOGENFIN.NS,,26.86,104.570368,41.9047619,1045703680,26.86,0.19,,,,0.13033,0.072670005,1,0.056,5.00100452,,,,,69717000,0.186380326,7966000,,,141.36842,,1.194893,49.842,0.299,,16410,69.6,0,"[17861000.0, 17431000.0, 17430000.0, 17429000.0, 17429000.0]","[2301000.0, 96000.0, 1673000.0, 3087000.0, 3111000.0]","[0.06, 0.04, 0.08, 0.08]","[-0.024074799843233907, -5.7369055131650804e-05, -5.7372346529027674e-05, 0.0]","[-0.9582790091264668, 16.427083333333332, 0.8451882845188285, 0.007774538386783325]","[-0.33333333333333326, 1.0, 0.0]","[0.0005626131664687835, 0.015156143587302218, 0.01688535584714113]",[],"[4.797029702970297, 1.6575342465753424, 5.368146214099217, 6.2057335581787525, 4.579976985040276]",5,5,0,0,0,3,3,5,5,0,0,5,0,0,0,0,5,0,0,5,3
ROSSELLIND.NS,,62.04,234.8006912,41.9047619,2348006912,62.04,5.38,-0.139060964,,,0.21591999,0.10419,0.94078004,45.412,7.628760965,,,,,1773495000,-0.153845351,196884000,-0.13109304,0.852109209,11.531598,,1.231759,10.329,-0.177,0.64,18102,74.8,0,"[404500000.0, 83095000.0, 623700000.0, 783100000.0, 283600000.0]","[80100000.0, -220516000.0, 61700000.0, 282000000.0, 73700000.0]","[2.12, 1.64, 7.48, 1.96]","[-0.7945735475896168, 6.505866778987905, 0.25557158890492215, -0.6378495722129995]","[-3.753008739076155, -1.2797982912804513, 3.5705024311183147, -0.7386524822695035]","[-0.2264150943396227, 3.560975609756098, -0.7379679144385027]","[0.45412381613500935, 0.16287534121929026, 0.15158335969358425]",[],"[4.474509803921569, -30.664857530529172, 21.75, 25.46969696969697, 12.575342465753424]",5,5,0,0,0,5,3,0,5,0,0,0,0,0,5,0,5,3,0,5,3
21STCENMGM.NS,,46.92,50.0994048,40.95238095,500994048,46.92,-9.33,-0.055828654,,,0.69624,-1.28099,-0.31516,,442.4638009,,,,,163247000,0.178472564,123377000,-0.055819258,-0.312761003,,,0.96575004,-9.301,0.521,4.15,5586,64.43,0,"[33286000.0, -1040899000.0, -21813000.0, 140143000.0, 1085816000.0]","[23148000.0, -108059000.0, -37157000.0, 24136000.0, 244457000.0]","[2.2, -3.54, 2.3, 23.28]","[-32.27137535300126, -0.9790440763224866, -7.424746710677119, 6.747914630056442]","[-5.668178676343529, -0.6561415523001324, -1.6495680490890008, 9.128314550878356]","[-2.609090909090909, -1.6497175141242937, 9.121739130434785]",[0.0],[],[-201.75113122171945],5,5,0,0,0,5,0,0,5,0,0,5,0,0,0,0,5,5,0,5,3
FMNL.NS,,9.28,56.6450176,40.95238095,566450176,9.28,-2.95,,,,0.24969,-0.14644,0.77997,181.062,7.320271234,,,,,1010030000,0.058108389,660370000,,,,,0.5339778,5.025,-0.415,,127841,66.92,0,"[244391000.0, 242048000.0, 260697000.0, 261608000.0, 245676000.0]","[15451000.0, -295204000.0, 64484000.0, 65879000.0, 825213000.0]","[0.25, 1.07, 1.14, 14.34]","[-0.009587096087826485, 0.07704670148069814, 0.003494478264038259, -0.060900278278951725]","[-20.10581839363148, -1.2184387745423504, 0.021633273370138317, 11.526191957983576]","[3.2800000000000002, 0.06542056074766345, 11.578947368421053]","[1.7858907124002654, 1.018161553289325, 5.852545007413513]",[],"[1.2895579490165094, -6.595531995456267, 3.3923943478543985, 3.261640866873065, 25.527108079501353]",5,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5,5,5,5,3
GAYAHWS.NS,,3.31,84.5524864,40.95238095,845524864,3.31,0.31,,,,-0.0061,299.6793,1,,1.019565361,,,,,56902000,-0.033324501,11289583000,,,10.677419,,-0.12675193,-80.227,1.39,,745253,61.16,0,"[0.0, 11800000.0, 21800000.0, 6502000.0, 16800000.0]","[-21175000.0, 13473023000.0, -981735000.0, -452375000.0, -749330000.0]","[-0.09, -4.1, -1.89, -3.13]","[inf, 0.847457627118644, -0.701743119266055, 1.5838203629652416]","[-637.2702715466352, -1.0728667204086269, -0.5392086459176866, 0.6564354794142029]","[44.55555555555555, -0.5390243902439025, 0.656084656084656]","[-1.042697862414928, -0.22051764008636437, -1.209966359108651]",[],"[9.368536824530253, -0.341010283048871, -0.05409058383907985, 4.03175023852433, 0.44165584501629873]",5,5,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,5,5,5,3
GVPTECH.NS,,9.24,156.4084352,40.95238095,1564084352,9.24,-0.04,,,,0.51283,-0.10807,0.76875997,0.081,,,,,,56901830,0.549131108,-26432320,,,,,0.91034484,-203.564,-1.027,1.6,77317,76.97,-10.01,"[40982000.0, 20389830.0, 2532000.0, 3893000.0, 35243000.0]","[21002000.0, -21138320.0, -6840000.0, 208000.0, 1339000.0]","[0.13, -0.039511, 0.001284, 0.01]","[-0.502468644770875, -0.8758204457810586, 0.537519747235387, 8.05291548933984]","[-2.0064908103990096, -0.6764170473339414, -1.0304093567251462, 5.4375]","[-1.3039307692307691, -1.032497279238693, 6.788161993769471]","[0.0008105559565847917, 0.0, 0.00014864160379891283]",[],"[703.9333333333333, 104.0]",5,5,0,0,0,5,0,5,0,0,0,5,0,0,0,0,5,5,3,5,0
MORARJEE.NS,,8.5,30.7678176,40.95238095,307678176,8.5,-44.94,0.733411146,,-0.057919998,-1.33964,0,0.19037001,,-1.427303491,0.047,0.029,893244480,,1999174000,0.032432504,-1852741000,0.733389205,22.61278392,,,-0.06437687,-23.835,0.417,,9732,59.71,0,[],[],[],[],[],[],[],[],[],5,5,5,0,0,0,0,0,0,0,5,0,5,0,0,0,5,5,0,5,3
NEXTMEDIA.NS,,6.66,45.2724096,40.95238095,452724096,6.66,9.54,,,,-0.2753,2.10155,0.39664,,3.673783515,,,,,303300000,0.057317092,636000000,,,0.6981132,,-1.7821782,-33.363,-0.313,,19266,74.99,0,"[0.0, 29100000.0, 96400000.0, 84500000.0, 0.0]","[-11700000.0, 763600000.0, -37200000.0, -45700000.0, -13100000.0]","[-0.17, -0.56, -0.68, -0.2]","[inf, 2.3127147766323026, -0.12344398340248963, -1.0]","[-66.26495726495726, -1.0487166055526453, 0.228494623655914, -0.7133479212253829]","[2.294117647058824, 0.2142857142857142, -0.7058823529411764]","[-1.3777511004401761, -2.29939131331889, -2.422052799271734]",[],"[-0.06363636363636363, 28.374545454545455, -0.06756756756756757, -0.3094017094017094, -0.27184466019417475]",5,5,0,0,0,0,5,0,5,0,0,0,0,0,5,0,5,5,0,5,3
ONELIFECAP.NS,,12.24,16.4729792,40.95238095,164729792,12.24,-4.53,1.299978996,,,-0.08182,-0.23999001,-0.18327999,65.507,-0.331486225,,,,,72159000,0.277186321,-51426000,1.349523814,4.868652289,,,0.42314872,-0.467,0.39,,18631,52.1,0,"[8467000.0, -28374000.0, 13302000.0, 15164000.0, 72067000.0]","[-5101000.0, 37291000.0, -27164000.0, -67439000.0, 5886000.0]","[-0.39, -2.033234, -5.047829, 0.49]","[-4.351127908350065, -1.4688094734616197, 0.1399789505337543, 3.75250593510947]","[-8.310527347578905, -1.7284331340001609, 1.482660874687086, -1.0872788742419075]","[4.213420512820513, 1.4826601365115866, -1.0970714340759167]","[0.6649483049918983, 0.49968861181206375, 0.5296657389856785]",[],"[-0.9635949943117179, 30.22748815165877, -4.5231502496595555, -11.065705420697208, 2.2893124574540504]",5,5,5,0,0,0,0,0,0,0,0,5,5,0,0,0,5,5,0,5,3
RVHL.NS,,59.25,363.3550336,40.95238095,3633550336,59.25,-0.42,,,,-19.44182,0,1,0.461,-25.22949527,,,,,5730000,1.573979685,-25374000,3.89000985,2.471448576,,,1.4893296,-47.332,-0.092,,41534,74.74,0,"[1272000.0, 1367000.0, 1401000.0, 1435000.0, 1528000.0]","[-5197000.0, -9087000.0, -11639000.0, -589000.0, -4157000.0]","[-0.08, -0.19, -0.01, -0.07]","[0.07468553459119498, 0.024871982443306573, 0.024268379728765277, 0.06480836236933807]","[0.748508755050991, 0.28084076152745685, -0.9493942778589226, 6.057724957555179]","[1.375, -0.9473684210526316, 6.000000000000001]","[0.0046093789867912875, 0.004646781273010741, 0.004762295754988094]",[],"[-14.305755395683454, -24.473988439306357, -20.704160246533128, -2.642857142857143, -7.562283737024221]",5,5,0,0,0,0,0,5,0,0,0,5,5,0,0,0,5,5,0,5,3
SPENCERS.NS,,53.82,493.2156416,40.95238095,4932156416,53.82,-29.39,0.265658616,,,-0.07931,-0.14202,0.19578,,-0.586497054,,,,,19321901000,-0.047481058,-2463623000,0.26584301,-5.598927731,,,-0.7332026,-99.679,0.088,,132099,58.81,0,"[4158382000.0, 3488641000.0, 5169707000.0, 5180340000.0, 5483213000.0]","[-616103000.0, -684051000.0, -473420000.0, -871831000.0, -434321000.0]","[-6.84, -5.25, -9.67, -4.82]","[-0.16105807499166747, 0.48186844103477533, 0.0020567896787961892, 0.05846585359262124]","[0.11028675400054855, -0.3079170997484105, 0.841559291960627, -0.5018289095019562]","[-0.23245614035087714, 0.8419047619047619, -0.5015511892450879]","[-2.3752083756231244, -2.8101692239680296, -3.8996886530172907]",[],"[-0.5380264267080342, -1.127369951715438, -0.16413764989305193, -1.1937926993937535, -0.01693227091633466]",5,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,5,5,3
UNIVASTU.NS,,84.89,305.4916608,40.95238095,3054916608,84.89,2.92,-0.093961494,,,0.23528999,0.06576,0.30435,40.988,6.489912804,,,,,1711778000,0.428345914,104684000,0.259664398,0.606202579,29.071917,,3.8988655,11.097,0.124,,200341,67.46,-3.74,"[517270000.0, 419898000.0, 423927000.0, 280746000.0, 392500000.0]","[39849000.0, 30344000.0, 30787000.0, 14750000.0, 30417000.0]","[2.67, 2.71, 1.3]","[-0.18824211726951112, 0.00959518740265497, -0.3377491879498121, 0.39806088065368694]","[-0.2385254335115059, 0.014599261798049046, -0.5209016792802157, 1.0621694915254238]","[0.014981273408239737, -0.5202952029520296]","[0.44000914917657413, 0.6830209287576633, 0.6416489314957531]",[],"[8.868288838538074, 6.239132248644139, 7.903366939319003, 4.025471418698785, 33.16382252559727]",5,5,0,0,0,5,0,0,5,0,0,5,5,0,0,0,0,3,5,5,0
AGROPHOS.NS,,40,81.0964608,40,810964608,40,2.48,,,,0.18926,0.07079,0.41042,43.135,-1.300887782,,,,,655445000,0.167004505,-52791000,,,16.129032,,1.2452136,5.181,-0.056,2.42,21689,54.27,0,"[228082000.0, 315046000.0, 239162000.0, -366373000.0]","[24674000.0, 4346000.0, -2045000.0, -26755000.0]","[1.22, 0.214362, -0.1]","[0.3812839242026991, -0.24086641315871338, -2.5319030615231517]","[-0.8238631758125963, -1.4705476300046019, 12.083129584352077]","[-0.8242934426229508, -1.4665005924557524]","[0.4594710242977252, 0.5950363045604495]",[],"[3.9742927826180487, 5.2429431912129445, 1.0414182939362795, -2.9727891156462585]",5,5,0,0,0,3,3,0,0,0,0,5,0,0,3,0,5,5,0,5,3
AIRAN.NS,,23.45,296.2488576,40,2962488576,23.45,-0.01,0.243235843,,,0.10263,-0.00167,0.3008,1.486,281.9869668,,,,,1064984000,0.068576944,184755000,0.243235743,3.546902612,,,2.002562,16.608,0.724,,84817,72.34,0,"[256989000.0, 273138000.0, 267981000.0, 262261000.0, 261604000.0]","[31507000.0, -34798000.0, 18655000.0, -16644000.0, 217392000.0]","[0.0, 0.14, -0.13, 1.74]","[0.06283926549385388, -0.018880565867803067, -0.021344796832611257, -0.0025051380113703114]","[-2.1044529787031454, -1.5360940283924363, -1.8922004824443848, -14.061283345349675]","[inf, -1.9285714285714284, -14.384615384615383]","[0.01579480953440203, 0.0054145024860974365, 0.006006658901122618]",[],"[98.42824074074075, -40.98724489795919, 107.56880733944953, 1377.711229946524]",5,5,5,0,0,3,0,0,5,0,0,0,5,0,0,0,3,0,3,5,3
LANCORHOL.NS,,21.9,161.660928,40,1616609280,21.9,0.26,,,,0.1325,0.00962,0.32469,78.21,1.521089402,,,,,1896024000,0.226540744,46709000,,,84.230774,,0.83175087,9.153,-0.871,0.91,77006,51.66,0,"[411930000.0, 509109000.0, 459342000.0, 574051000.0, 353521000.0]","[1159000.0, 286000.0, -20706000.0, 38122000.0, 29007000.0]","[0.02, -0.28, 0.52, 0.4]","[0.23591144126429242, -0.09775313341543757, 0.24972460606693914, -0.38416447319140634]","[-0.7532355478861087, -73.3986013986014, -2.841108857336038, -0.23910078170085514]","[-15.000000000000002, -2.8571428571428568, -0.23076923076923073]","[0.782102670495774, 0.6361824173141858, 0.6930353966358864]",[],"[1.018890312781812, 1.0738041559621805, 0.7709000906057325, 2.257741114246808, 2.0434792832620046]",5,5,0,0,0,3,0,0,3,0,0,5,0,0,0,0,5,5,3,5,3
PREMIERPOL.NS,,42.64,456.4993536,40,4564993536,42.64,0.24,0.384740098,,,0.106800005,0.08542,0.44988,2.528,30.85344828,,,,,3004926000,0.075125497,260000000,0.38530318,5.128793719,177.66667,4.617836067,3.8153186,11.657,0.02,0.34,38876,67.6,0,"[744400000.0, 818926000.0, 698300000.0, 787300000.0, 700400000.0]","[60000000.0, 55900000.0, 66700000.0, 78600000.0, 58800000.0]","[0.57, 0.64, 0.75, 2.81]","[0.1001155292853304, -0.14729780224342615, 0.1274523843620221, -0.11037723866378768]","[-0.06833333333333336, 0.19320214669051872, 0.1784107946026987, -0.25190839694656486]","[0.12280701754385981, 0.171875, 2.7466666666666666]","[0.0, 0.15622034702453572]",[],"[35.333333333333336, 27.392857142857142, 35.15384615384615, 34.96774193548387, 26.258064516129032]",5,5,5,0,0,3,3,0,5,0,0,0,5,0,0,0,0,3,0,5,3
SONAMLTD.NS,,39.95,164.4690048,40,1644690048,39.95,1.58,0.168479219,,,0.04952,0.0543,0.23768999,29.194,5.218648268,,,,,1038086000,0.060358613,63328000,0.230765362,3.823238308,25.28481,1.500767286,2.5605693,14.708,-0.132,,54683,55.95,0.8,[],[],[],[],[],[],[],[],[],5,5,3,0,0,0,0,0,5,0,0,0,5,0,0,3,0,3,3,5,5
LAGNAM.NS,,82.52,146.1552896,39.04761905,1461552896,82.52,7.5,-0.235610713,,,0.0776,0.02262,0.28406,321.418,1.623098209,,,,,5890685000,0.211517371,128547000,-0.235758367,-1.114605228,11.002666,,1.2063093,7.848,0.392,0.48,7751,68.5,0,"[1401003000.0, 1463632000.0, 1483938000.0, 1343405000.0, 1599710000.0]","[19696000.0, 85445000.0, 23532000.0, 3806000.0, 15764000.0]","[1.11, 1.33, 0.22, 0.89]","[0.044702973512547706, 0.013873705958874938, -0.09470274364562403, 0.19078758825521724]","[3.3381904955320874, -0.7245947685645737, -0.8382627910929797, 3.1418812401471365]","[0.19819819819819817, -0.8345864661654135, 3.045454545454546]","[3.2141841284234407, 3.2132703789979393, 3.467137520536755]",[],"[1.3355469132178848, 2.7775896887621765, 1.436045113183847, 1.0689640597923329, 1.2937360058269713]",5,5,0,0,0,0,0,0,3,0,0,5,0,0,5,0,5,5,0,5,3
LPDC.NS,,8.07,111.8486656,39.04761905,1118486656,8.07,-0.29,2.036588972,,,-1.0553501,0,0.43112,,,,,,,11730000,0.189246886,-37215000,2.617693968,13.832164,,,2.7089624,-160.967,-0.119,,58810,64.87,0,"[0.0, 0.0, 4649000.0, 2987000.0, 4094000.0]","[-68000.0, -382000.0, 1344000.0, -38750000.0, 572000.0]","[-0.001, 0.01, -0.29, 0.004]","[inf, -0.3574962357496235, 0.3706059591563442]","[4.617647058823529, -4.518324607329843, -29.831845238095237, -1.0147612903225807]","[-11.0, -29.999999999999996, -1.013793103448276]",[],[],[],5,5,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,3,5,3
MAGNUM.NS,,24.08,162.7240448,39.04761905,1627240448,24.08,0.9,0.035128218,0.00642,0.01306,-0.06251,0.01038,0.38137,32.4,1.002104748,2.167,0.784,,,3957506000,0.073372379,94958000,0.22642856,3.086019055,26.755556,7.616542451,0.23651204,5.721,0.153,,58290,56.86,0,"[1157715000.0, 1188946000.0, 1031580000.0, 836223000.0, 900760000.0]","[-181589000.0, 53943000.0, 83692000.0, 87682000.0, -130359000.0]","[-2.73, 1.31, 1.39, -2.18]","[0.026976414748016486, -0.1323575671224766, -0.18937649043215266, 0.07717678179145993]","[-1.2970609453215778, 0.5514895352501714, 0.04767480762796916, -2.486724755365982]","[-1.47985347985348, 0.061068702290076216, -2.568345323741007]","[0.32399631728902856, 0.2993065348399301, 0.2801639171557281, 0.2731053224158069, 0.2798681667215923]",[],"[-0.7792458946756542, 1.2866639021877082, 1.1435641674830468, 1.4834628524233209, 0.0845857441984364]",5,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,5,3,5,3
SHEKHAWATI.NS,,20.8,71.6976,39.04761905,716976000,20.8,2.57,,,,0.52906,0.14299,0.2899,2.743,177.1179775,,,,,486470000,-0.487511721,62821000,,,8.093385,,5.0132556,18.903,1.054,,63556,64.12,1.75,"[29954000.0, -10065000.0, 152690000.0, 178714000.0, 165132000.0]","[28142000.0, -1465000.0, 15120000.0, 25581000.0, 23588000.0]","[0.82, 0.44, 0.74, 0.07]","[-1.3360152233424585, -16.17039244908097, 0.17043683279848065, -0.07599852277941288]","[-1.052057423068723, -11.320819112627987, 0.6918650793650793, -0.0779093858723271]","[-0.46341463414634143, 0.6818181818181819, -0.9054054054054054]","[0.027430816250692026, 0.03189151350383382, 0.11606578115117014]",[],"[381.2972972972973, -16.84269662921348, 170.8876404494382, 288.4269662921348, 266.03370786516854]",5,5,0,0,0,5,3,0,5,0,0,0,0,0,5,0,0,0,3,5,5
SOMATEX.NS,,83.71,276.5192448,39.04761905,2765192448,83.71,21.72,,,,-1.20976,7.0640397,0.01872,1.844,426.9619464,,,,,94875000,-0.120852327,692687000,,,3.8540516,,1.5910517,-24.432,-0.867,,24141,74.98,0,"[20500000.0, 38675000.0, 5900000.0, 36400000.0, 13900000.0]","[36300000.0, 2387000.0, -3400000.0, 681700000.0, 12000000.0]","[1.1, -0.1, 20.64, 0.36]","[0.8865853658536584, -0.8474466709760827, 5.169491525423729, -0.6181318681318682]","[-0.9342424242424242, -2.42438206954336, -201.5, -0.9823969488044595]","[-1.0909090909090908, -207.4, -0.9825581395348837]","[0.018431086325985228, 0.009436352121595947, 0.018344644357892265]",[],"[61.5, -13.876739562624255, -10.333333333333334, 1705.25, 31.0]",5,5,0,0,0,0,5,0,5,0,0,0,0,0,5,0,3,5,0,5,3
ZODIACLOTH.NS,,99.49,259.4452736,39.04761905,2594452736,99.49,-14.14,0.293637882,,,-0.23912,-0.20923,0.58087003,45.859,-3.548834104,,,,,1685086000,0.114078783,-371959000,0.314703579,2.758651259,,,1.2614268,-26.448,-0.032,,5512,71.4,0,"[390989000.0, 420479000.0, 457371000.0, 428541000.0, 378695000.0]","[-93199000.0, -31794000.0, -101649000.0, -140832000.0, -97684000.0]","[-3.59, -3.91, -5.42, -3.76]","[0.07542411679100947, 0.08773803210148423, -0.06303416701102604, -0.11631559174034689]","[-0.658859000633054, 2.1971126627665596, 0.38547354130389877, -0.3063792319927289]","[0.08913649025069637, 0.38618925831202033, -0.3062730627306274]","[0.4585928506999549, 0.3813839035150986, 0.3496054916248495]",[],"[-2.8385388204632394, -2.7771369350696165, -3.969531088618054, -3.3709856621342786, -4.201025207419542]",5,5,5,0,0,0,0,0,0,0,0,3,5,0,0,0,5,5,0,5,3
